uid,section,name,first_url,phase_hint,status
107,Посещения,Список проблемных отметок,https://app2.verifix.com/#/!1shmqmym/vhr/hac/problem_tracks_list,phase-1-attendance,todo
108,Посещения,Отображение последних отметок,https://app2.verifix.com/#/!1skfybsu/vhr/htt/latest_track_list,phase-1-attendance,todo
109,Посещения,Отметки / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/track_list,phase-1-attendance,optional
110,Посещения,Индивидуальные графики,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/schedule_registry_list+staff,phase-1-attendance,todo
111,Посещения,Индивидуальные графики / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/schedule_registry_list+staff,phase-1-attendance,optional
112,Посещения,Индивидуальные графики для позиций,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/schedule_registry_list+robot,phase-1-attendance,todo
113,Посещения,Индивидуальные графики для позиций / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/schedule_registry_list+robot,phase-1-attendance,optional
114,Посещения,Расписания,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/time_table_list,phase-1-attendance,todo
115,Посещения,Запросы на изменение расписания,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/time_table_request_list,phase-1-attendance,todo
116,Посещения,Список смен расписания,https://app2.verifix.com/#/!1iil5zr2/vhr/htt/shift_plan_list,phase-1-attendance,todo
118,Зарплата,Табель,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/timebook_list,phase-2-payroll,todo
119,Зарплата,Политики штрафов,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/penalty_list,phase-2-payroll,todo
120,Зарплата,Политики штрафов / Создать :: Создать,https://app2.verifix.com/#/!1uaani9q/vhr/hpr/penalty+add?form_type=S,phase-2-payroll,optional
121,Зарплата,Корректировки табеля / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1ue9jjge/vhr/hpd/timebook_adjustment+add?journal_type_id=3278,phase-2-payroll,optional
122,Зарплата,месяц,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/timebook_list,phase-2-payroll,todo
123,Зарплата,месяц / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1ui8fkn2/vhr/hpr/timebook+add,phase-2-payroll,optional
124,Зарплата,Все начисления,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/book_list,phase-2-payroll,todo
125,Зарплата,Поручения,https://app2.verifix.com/#/!1umd9xvi/vhr/hpr/charge_list,phase-2-payroll,todo
